date,sleep_hours
2022-01-01,6.762348229125429
2022-01-02,6.671735006287125
2022-01-03,6.671735006287125
2022-01-04,6.638813295936318
2022-01-05,6.671735006287125
2022-01-06,6.671735006287125
2022-01-07,6.671735006287125
2022-01-08,6.762348229125429
2022-01-19,6.7013173192664075
2022-01-20,6.7013173192664075
2022-01-21,6.7013173192664075
2022-01-22,6.791930542104711
2022-01-23,6.7013173192664075
2022-01-24,6.7013173192664075
2022-01-25,6.668395608915601
2022-01-26,6.7013173192664075
2022-01-27,6.7013173192664075
2022-01-28,6.7013173192664075
2022-01-29,6.791930542104711
2022-01-30,6.7013173192664075
2022-01-31,6.7013173192664075
2022-02-01,6.638813295936318
2022-02-02,6.671735006287125
2022-02-04,6.671735006287125
2022-02-05,6.762348229125429
2022-02-06,6.671735006287125
2022-02-07,6.671735006287125
2022-02-08,6.638813295936318
2022-02-09,6.671735006287125
2022-02-10,6.671735006287125
2022-02-11,6.671735006287125
2022-02-12,6.762348229125429
2022-02-13,6.671735006287125
2022-02-14,6.671735006287125
2022-02-15,6.638813295936318
2022-02-16,6.671735006287125
2022-02-17,6.671735006287125
2022-02-18,6.7013173192664075
2022-02-19,6.791930542104711
2022-02-20,6.7013173192664075
2022-02-21,6.7013173192664075
2022-02-22,6.668395608915601
2022-02-23,6.7013173192664075
2022-02-24,6.7013173192664075
2022-02-25,6.7013173192664075
2022-02-26,6.791930542104711
2022-02-27,6.7013173192664075
2022-02-28,6.7013173192664075
2022-03-01,6.638813295936318
2022-03-02,6.671735006287125
2022-03-03,6.671735006287125
2022-03-04,6.671735006287125
2022-03-05,6.762348229125429
2022-03-06,6.671735006287125
2022-03-07,6.671735006287125
2022-03-08,6.638813295936318
2022-03-09,6.671735006287125
2022-03-10,6.671735006287125
2022-03-11,6.671735006287125
2022-03-12,6.762348229125429
2022-03-13,6.671735006287125
2022-03-14,6.671735006287125
2022-03-15,6.638813295936318
2022-03-16,6.671735006287125
2022-03-17,6.671735006287125
2022-03-18,6.7013173192664075
2022-03-19,6.791930542104711
2022-03-20,6.7013173192664075
2022-03-21,6.7013173192664075
2022-03-22,6.668395608915601
2022-03-23,6.7013173192664075
2022-03-24,6.7013173192664075
2022-03-25,6.7013173192664075
2022-03-26,6.791930542104711
2022-03-27,6.7013173192664075
2022-03-28,6.7013173192664075
2022-03-29,6.668395608915601
2022-03-30,6.7013173192664075
2022-03-31,6.7013173192664075
2022-04-01,7.09747960792525
2022-04-02,6.762348229125429
2022-04-03,6.668798760586314
2022-04-04,6.668798760586314
2022-04-05,6.635877050235506
2022-04-06,6.668798760586314
2022-04-07,6.668798760586314
2022-04-08,6.668798760586314
2022-04-09,6.762348229125429
2022-04-11,6.668798760586314
2022-04-12,6.635877050235506
2022-04-13,6.668798760586314
2022-04-14,6.668798760586314
2022-04-15,6.668798760586314
2022-04-16,6.762348229125429
2022-04-17,6.668798760586314
2022-04-18,6.698381073565596
2022-04-19,6.665459363214789
2022-04-20,6.698381073565596
2022-04-21,6.698381073565596
2022-04-22,6.698381073565596
2022-04-23,6.791930542104711
2022-04-24,6.698381073565596
2022-04-25,6.698381073565596
2022-04-26,6.665459363214789
2022-04-27,6.698381073565596
2022-04-28,6.698381073565596
2022-04-29,6.698381073565596
2022-04-30,6.791930542104711
2022-05-01,7.09747960792525
2022-05-02,6.668798760586314
2022-05-03,6.635877050235506
2022-05-04,6.668798760586314
2022-05-05,6.668798760586314
2022-05-06,6.668798760586314
2022-05-07,6.762348229125429
2022-05-08,6.668798760586314
2022-05-09,6.668798760586314
2022-05-11,6.668798760586314
2022-05-12,6.668798760586314
2022-05-13,6.668798760586314
2022-05-14,6.762348229125429
2022-05-15,6.668798760586314
2022-05-16,6.668798760586314
2022-05-17,6.635877050235506
2022-05-18,6.698381073565596
2022-05-19,6.698381073565596
2022-05-20,6.698381073565596
2022-05-21,6.791930542104711
2022-05-22,6.698381073565596
2022-05-23,6.698381073565596
2022-05-24,6.665459363214789
2022-05-25,6.698381073565596
2022-05-26,6.698381073565596
2022-05-27,6.698381073565596
2022-05-28,6.791930542104711
2022-05-29,6.698381073565596
2022-05-30,6.698381073565596
2022-05-31,6.665459363214789
2022-06-01,6.7040282855138065
2022-06-02,6.7040282855138065
2022-06-03,6.7040282855138065
2022-06-04,6.7472465799166015
2022-06-05,6.7040282855138065
2022-06-06,6.7040282855138065
2022-06-07,6.671106575163001
2022-06-08,6.7040282855138065
2022-06-09,6.7040282855138065
2022-06-10,6.7040282855138065
2022-06-11,6.7472465799166015
2022-06-12,6.7040282855138065
2022-06-13,6.7040282855138065
2022-06-14,6.671106575163001
2022-06-15,6.7040282855138065
2022-06-16,6.7040282855138065
2022-06-17,6.7040282855138065
2022-06-18,6.7768288928958835
2022-06-19,6.7336105984930885
2022-06-20,6.7336105984930885
2022-06-21,6.700688888142282
2022-06-22,6.7336105984930885
2022-06-23,6.7336105984930885
2022-06-24,6.7336105984930885
2022-06-25,6.7768288928958835
2022-06-26,6.7336105984930885
2022-06-27,6.7336105984930885
2022-06-28,6.700688888142282
2022-06-30,6.7336105984930885
2022-07-01,6.725580362628806
2022-07-02,6.768798657031601
2022-07-03,6.725580362628806
2022-07-04,6.725580362628806
2022-07-05,6.628370554409743
2022-07-06,6.725580362628806
2022-07-07,6.725580362628806
2022-07-08,6.725580362628806
2022-07-09,6.768798657031601
2022-07-10,6.725580362628806
2022-07-11,6.725580362628806
2022-07-12,6.628370554409743
2022-07-13,6.725580362628806
2022-07-14,6.725580362628806
2022-07-15,6.725580362628806
2022-07-16,6.768798657031601
2022-07-17,6.725580362628806
2022-07-18,6.755162675608089
2022-07-19,6.657952867389026
2022-07-20,6.755162675608089
2022-07-21,6.755162675608089
2022-07-22,6.755162675608089
2022-07-23,6.798380970010883
2022-07-24,6.755162675608089
2022-07-26,6.657952867389026
